"sample_year","n_ages","n_total","slope"
2008,48,163787,0.660675721246485
2009,48,195323,1.27859869599187
2010,48,154685,2.04937500242544
2011,48,130284,1.90401104894506
2012,48,127977,1.6693656251816
2013,48,132683,1.49247007696803
2014,48,139150,1.29697308633196
2015,48,165060,1.18483777234936
2016,48,148393,1.07749091904395
2017,48,187454,0.989009008472704
2018,48,168023,1.00557594740759
2019,48,156276,0.871537915647077
2020,48,147020,0.644733097945515
2021,48,144015,0.656211216172124
2022,48,133144,0.731546035105698
2023,48,140585,0.63797346881002
